Daily NAV History	Balanced Income	Balanced	Balanced Growth	Dividend	Equity Growth
January 07, 2019	$12.58	$13.63	$14.21	$10.08	$17.18
January 04, 2019	$12.58	$13.61	$14.18	$10.07	$17.13
January 03, 2019	$12.56	$13.51	$14.03	$9.94	$16.87
January 02, 2019	$12.57	$13.60	$14.17	$10.03	$17.14
December 31, 2018	$12.96	$13.89	$14.40	$10.84	$17.28
December 28, 2018	$12.54	$13.57	$14.14	$9.99	$17.09
December 27, 2018	$12.51	$13.51	$14.07	$9.91	$16.99
December 24, 2018	$12.42	$13.30	$13.79	$9.74	$16.52
December 21, 2018	$12.44	$13.38	$13.90	$9.86	$16.72
December 20, 2018	$12.80	$13.79	$14.31	$10.38	$17.18
December 19, 2018	$12.86	$13.88	$14.43	$10.46	$17.35
December 18, 2018	$12.85	$13.92	$14.50	$10.53	$17.49
December 17, 2018	$12.82	$13.89	$14.47	$10.51	$17.48
December 14, 2018	$12.84	$13.98	$14.59	$10.66	$17.69
December 13, 2018	$12.86	$14.06	$14.72	$10.75	$17.91
December 12, 2018	$12.88	$14.07	$14.72	$10.74	$17.91
December 11, 2018	$12.89	$14.03	$14.66	$10.70	$17.78
December 10, 2018	$12.89	$14.04	$14.66	$10.69	$17.77
December 07, 2018	$12.90	$14.05	$14.68	$10.73	$17.81
December 06, 2018	$12.94	$14.18	$14.85	$10.88	$18.10
December 05, 2018	$12.98	$14.27	$14.98	$10.96	$18.32
December 04, 2018	$12.93	$14.19	$14.88	$10.91	$18.16
December 03, 2018	$12.97	$14.32	$15.06	$11.03	$18.49
November 30, 2018	$12.93	$14.26	$14.99	$11.04	$18.40
November 29, 2018	$12.91	$14.25	$14.98	$11.02	$18.38
November 28, 2018	$12.91	$14.24	$14.98	$11.01	$18.38
November 27, 2018	$12.85	$14.11	$14.80	$10.90	$18.08
November 26, 2018	$12.84	$14.09	$14.78	$10.90	$18.05
November 23, 2018	$12.82	$14.03	$14.69	$10.86	$17.90
November 22, 2018	$12.82	$14.05	$14.72	$10.87	$17.96
November 21, 2018	$12.84	$14.09	$14.78	$10.92	$18.05
November 20, 2018	$12.81	$14.01	$14.66	$10.87	$17.86
November 19, 2018	$12.85	$14.11	$14.79	$10.96	$18.07
November 16, 2018	$12.87	$14.15	$14.85	$10.99	$18.17
November 15, 2018	$12.87	$14.17	$14.88	$10.99	$18.21
November 14, 2018	$12.84	$14.13	$14.84	$10.98	$18.17
November 13, 2018	$12.84	$14.15	$14.87	$11.00	$18.23
November 12, 2018	$12.82	$14.13	$14.85	$10.98	$18.22
November 09, 2018	$12.86	$14.23	$14.98	$11.05	$18.43
November 08, 2018	$12.85	$14.24	$15.00	$11.06	$18.48
November 07, 2018	$12.86	$14.24	$15.00	$11.06	$18.47
November 06, 2018	$12.81	$14.14	$14.88	$10.99	$18.27
November 05, 2018	$12.79	$14.09	$14.81	$10.93	$18.15
November 02, 2018	$12.77	$14.07	$14.79	$10.85	$18.13
November 01, 2018	$12.80	$14.09	$14.80	$10.87	$18.13
October 31, 2018	$12.77	$14.03	$14.73	$10.78	$18.01
October 30, 2018	$12.75	$13.96	$14.62	$10.72	$17.82
October 29, 2018	$12.75	$13.90	$14.52	$10.65	$17.63
October 26, 2018	$12.76	$13.92	$14.55	$10.66	$17.68
October 25, 2018	$12.75	$13.95	$14.61	$10.72	$17.80
October 24, 2018	$12.73	$13.90	$14.53	$10.68	$17.66
October 23, 2018	$12.82	$14.10	$14.80	$10.88	$18.12
October 22, 2018	$12.84	$14.17	$14.90	$10.94	$18.29
October 19, 2018	$12.85	$14.20	$14.95	$10.99	$18.37
October 18, 2018	$12.83	$14.16	$14.89	$10.88	$18.27
October 17, 2018	$12.86	$14.23	$14.98	$10.94	$18.43
October 16, 2018	$12.86	$14.21	$14.96	$10.91	$18.38
October 15, 2018	$12.81	$14.11	$14.82	$10.79	$18.16
October 12, 2018	$12.84	$14.16	$14.89	$10.81	$18.26
October 11, 2018	$12.82	$14.12	$14.83	$10.80	$18.17
October 10, 2018	$12.85	$14.23	$14.99	$10.99	$18.46
October 09, 2018	$12.92	$14.40	$15.21	$11.13	$18.83
October 05, 2018	$12.92	$14.42	$15.26	$11.17	$18.91
October 04, 2018	$12.96	$14.46	$15.30	$11.18	$18.97
October 03, 2018	$12.99	$14.50	$15.34	$11.19	$19.02
October 02, 2018	$13.02	$14.52	$15.35	$11.19	$19.01
October 01, 2018	$13.01	$14.54	$15.38	$11.19	$19.08
September 28, 2018	$13.07	$14.59	$15.44	$11.22	$19.15
September 27, 2018	$13.12	$14.71	$15.59	$11.35	$19.39
September 26, 2018	$13.09	$14.66	$15.52	$11.30	$19.28
September 25, 2018	$13.06	$14.63	$15.50	$11.29	$19.26
September 24, 2018	$13.06	$14.62	$15.49	$11.30	$19.24
September 21, 2018	$13.08	$14.65	$15.52	$11.34	$19.29
September 20, 2018	$13.07	$14.63	$15.49	$11.30	$19.23
September 19, 2018	$13.06	$14.59	$15.44	$11.26	$19.15
September 18, 2018	$13.08	$14.61	$15.45	$11.28	$19.16
September 17, 2018	$13.09	$14.59	$15.42	$11.26	$19.09
September 14, 2018	$13.09	$14.59	$15.42	$11.24	$19.09
September 13, 2018	$13.08	$14.57	$15.39	$11.22	$19.03
September 12, 2018	$13.07	$14.54	$15.35	$11.18	$18.97
September 11, 2018	$13.10	$14.60	$15.43	$11.23	$19.10
September 10, 2018	$13.12	$14.61	$15.44	$11.24	$19.09
September 07, 2018	$13.11	$14.60	$15.42	$11.22	$19.07
September 06, 2018	$13.17	$14.66	$15.49	$11.27	$19.16
September 05, 2018	$13.17	$14.69	$15.52	$11.28	$19.22
September 04, 2018	$13.19	$14.71	$15.56	$11.26	$19.27
August 31, 2018	$13.18	$14.71	$15.55	$11.30	$19.26
August 30, 2018	$13.16	$14.70	$15.55	$11.33	$19.28
August 29, 2018	$13.14	$14.70	$15.56	$11.35	$19.31
August 28, 2018	$13.13	$14.66	$15.50	$11.32	$19.21
August 27, 2018	$13.15	$14.70	$15.55	$11.37	$19.28
August 24, 2018	$13.15	$14.67	$15.51	$11.35	$19.21
August 23, 2018	$13.14	$14.64	$15.47	$11.34	$19.14
August 22, 2018	$13.15	$14.65	$15.49	$11.37	$19.17
August 21, 2018	$13.13	$14.64	$15.47	$11.37	$19.14
August 20, 2018	$13.14	$14.65	$15.48	$11.38	$19.15
August 17, 2018	$13.13	$14.62	$15.45	$11.37	$19.12
August 16, 2018	$13.13	$14.62	$15.44	$11.35	$19.10
August 15, 2018	$13.10	$14.56	$15.38	$11.27	$18.99
August 14, 2018	$13.10	$14.60	$15.44	$11.29	$19.12
August 13, 2018	$13.09	$14.58	$15.40	$11.25	$19.05
August 10, 2018	$13.11	$14.62	$15.45	$11.27	$19.12
August 09, 2018	$13.13	$14.68	$15.54	$11.37	$19.28
August 08, 2018	$13.11	$14.66	$15.53	$11.36	$19.27
August 07, 2018	$13.09	$14.64	$15.49	$11.33	$19.22
August 03, 2018	$13.09	$14.61	$15.46	$11.33	$19.16
August 02, 2018	$13.08	$14.60	$15.45	$11.29	$19.15
August 01, 2018	$13.08	$14.60	$15.45	$11.33	$19.14
July 31, 2018	$13.12	$14.66	$15.51	$11.38	$19.23
July 30, 2018	$13.11	$14.63	$15.47	$11.31	$19.16
July 27, 2018	$13.13	$14.68	$15.53	$11.32	$19.27
July 26, 2018	$13.15	$14.71	$15.57	$11.35	$19.32
July 25, 2018	$13.16	$14.72	$15.58	$11.33	$19.34
July 24, 2018	$13.18	$14.72	$15.57	$11.33	$19.30
July 23, 2018	$13.16	$14.68	$15.52	$11.27	$19.22
July 20, 2018	$13.19	$14.70	$15.53	$11.28	$19.22
July 19, 2018	$13.25	$14.78	$15.62	$11.34	$19.34
July 18, 2018	$13.23	$14.76	$15.60	$11.33	$19.32
July 17, 2018	$13.23	$14.74	$15.58	$11.34	$19.28
July 16, 2018	$13.20	$14.69	$15.52	$11.30	$19.19
July 13, 2018	$13.21	$14.72	$15.57	$11.33	$19.26
July 12, 2018	$13.20	$14.71	$15.55	$11.33	$19.24
July 11, 2018	$13.17	$14.63	$15.44	$11.26	$19.06
July 10, 2018	$13.20	$14.70	$15.54	$11.34	$19.23
July 09, 2018	$13.17	$14.66	$15.48	$11.28	$19.13
July 06, 2018	$13.17	$14.61	$15.41	$11.26	$18.99
July 05, 2018	$13.13	$14.55	$15.33	$11.21	$18.88
July 04, 2018	$13.11	$14.52	$15.30	$11.15	$18.83
July 03, 2018	$13.12	$14.53	$15.30	$11.16	$18.83
June 29, 2018	$13.12	$14.55	$15.33	$11.17	$18.89
June 28, 2018	$13.13	$14.55	$15.33	$11.16	$18.88
June 27, 2018	$13.18	$14.59	$15.37	$11.20	$18.92
June 26, 2018	$13.18	$14.63	$15.43	$11.25	$19.02
June 25, 2018	$13.17	$14.60	$15.39	$11.25	$18.96
June 22, 2018	$13.23	$14.74	$15.57	$11.38	$19.27
June 21, 2018	$13.19	$14.66	$15.48	$11.30	$19.12
June 20, 2018	$13.19	$14.69	$15.53	$11.35	$19.20
June 19, 2018	$13.18	$14.65	$15.47	$11.31	$19.10
June 18, 2018	$13.17	$14.67	$15.50	$11.32	$19.16
June 15, 2018	$13.17	$14.68	$15.51	$11.34	$19.19
June 14, 2018	$13.12	$14.62	$15.44	$11.28	$19.10
June 13, 2018	$13.07	$14.55	$15.37	$11.22	$19.00
June 12, 2018	$13.09	$14.58	$15.40	$11.26	$19.04
June 11, 2018	$13.08	$14.58	$15.40	$11.28	$19.06
June 08, 2018	$13.05	$14.52	$15.33	$11.23	$18.95
